original_game_id,user_id,game_id,category_id,level_id,position
pdvj4rdw,kjpmwkjq,k6qwmx6g,ndx1412q,None,1
pdvj4rdw,kjpmwkjq,kdkekxdm,9kv5jodg,None,2
pdvj4rdw,kjpmwkjq,kdkekxdm,rkl4erdn,None,2
pdvj4rdw,kjpmwkjq,ldek7ed3,n2yq4e8k,None,6
pdvj4rdw,kjpmwkjq,76rxj3l6,wkpvy58k,None,3
pdvj4rdw,kjpmwkjq,ldek7ed3,wk6jjyod,ewppz2kw,4
pdvj4rdw,kjpmwkjq,46wnzn6r,n2y1l312,None,1
pdvj4rdw,kjpmwkjq,ldek7ed3,9d8vve3k,None,2
pdvj4rdw,kjpmwkjq,ldek7ed3,9d8vve3k,None,3
pdvj4rdw,kjpmwkjq,j1ne5nl1,wk6eggx2,gdro578d,6
pdvj4rdw,kjpmwkjq,j1ne5nl1,wk6eggx2,n93l6379,15
pdvj4rdw,kjpmwkjq,j1ne5nl1,wk6eggx2,rdnxegnw,21
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,nwl6e1ow,1
pdvj4rdw,kjpmwkjq,9d3prw6l,9d8vvnlk,None,3
pdvj4rdw,kjpmwkjq,pdvj4rdw,q25qg582,None,1
pdvj4rdw,kjpmwkjq,ldek7ed3,n2yq4e8k,None,3
pdvj4rdw,kjpmwkjq,ldek7ed3,n2yq4e8k,None,2
pdvj4rdw,kjpmwkjq,ldek7ed3,wk6jjyod,ewppz2kw,5
pdvj4rdw,kjpmwkjq,ldek7ed3,n2yq4e8k,None,8
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,592jpl7w,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,29vypxq9,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,xd468zq9,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,xd00oymd,2
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,rw6vyxp9,1
pdvj4rdw,kjpmwkjq,3dxvyg6y,xd1rwwrk,None,2
pdvj4rdw,kjpmwkjq,ldek7ed3,wkpy9rgk,None,1
pdvj4rdw,kjpmwkjq,pd02o21e,7kjz9r3d,None,1
pdvj4rdw,kjpmwkjq,3dxvyg6y,xd1rwwrk,None,2
pdvj4rdw,kjpmwkjq,3dxvyg6y,xd1rwwrk,None,2
pdvj4rdw,kjpmwkjq,pd02o21e,ndxp37j2,None,2
pdvj4rdw,kjpmwkjq,j1l9w71g,mkeomw9d,None,4
pdvj4rdw,kjpmwkjq,46wnzn6r,n2y1l312,None,1
pdvj4rdw,kjpmwkjq,m1mpgx12,ndx8qz5k,None,2
pdvj4rdw,kjpmwkjq,ldek7ed3,9d8vve3k,None,4
pdvj4rdw,kjpmwkjq,o6gnxo12,zd37zv2n,None,11
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,ywe4pgld,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,r9gz85jd,1
pdvj4rdw,kjpmwkjq,m1mpgx12,rklgy4rd,None,2
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,495jngmw,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,5d77r5qd,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,o9x20q3w,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,ewpp5yyw,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,owokxnjd,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,y9mez3zd,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,rdq0qrow,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,gdrj7lew,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,xd101rz9,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,69zr0jxd,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,kwjyrj0w,1
pdvj4rdw,kjpmwkjq,k6qwmx6g,wk6poqpd,None,1
pdvj4rdw,kjpmwkjq,3697jg1l,9kvgj8kg,None,4
pdvj4rdw,kjpmwkjq,46wnzn6r,n2y1l312,None,1
pdvj4rdw,kjpmwkjq,46wnzn6r,n2y1l312,None,1
pdvj4rdw,kjpmwkjq,ldek7ed3,wk6jjyod,gdrp4ylw,2
pdvj4rdw,kjpmwkjq,ldek7ed3,n2y11z72,rdnojq7w,2
pdvj4rdw,kjpmwkjq,ldek7ed3,wk6jjyod,ldy173rd,2
pdvj4rdw,kjpmwkjq,ldek7ed3,n2yq4e8k,None,5
pdvj4rdw,kjpmwkjq,ldek7ed3,n2yq4e8k,None,6
pdvj4rdw,kjpmwkjq,pdvj4rdw,q25qg582,None,1
pdvj4rdw,kjpmwkjq,ldek7ed3,9d8vve3k,None,4
pdvj4rdw,kjpmwkjq,k6qwmx6g,rkljrqdn,None,1
pdvj4rdw,kjpmwkjq,76rxj3l6,wkpvy58k,None,5
pdvj4rdw,kjpmwkjq,k6qwmx6g,w20y3vkn,None,1
pdvj4rdw,kjpmwkjq,m1mpgx12,zd3yen82,5wk2lovw,1
pdvj4rdw,kjpmwkjq,ldek7ed3,n2y11z72,nwlgx2e9,1
